Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,4535.209961,4570.580078,4531.109863,4569.310059,4569.310059,1672260000
2016-04-19,4573.580078,4574.379883,4515.97998,4537.089844,4537.089844,1824250000
2016-04-20,4539.200195,4562.339844,4523.899902,4540.439941,4540.439941,1781340000
2016-04-21,4540.709961,4558.669922,4522.850098,4540.799805,4540.799805,1758190000
2016-04-22,4478.450195,4502.390137,4440.140137,4474.189941,4474.189941,2018930000
2016-04-25,4459.669922,4474.77002,4452.870117,4474.129883,4474.129883,1582270000
2016-04-26,4480.600098,4490.060059,4439.379883,4452.970215,4452.970215,1825020000
2016-04-27,4412.819824,4426.279785,4381.169922,4416.629883,4416.629883,1938780000
2016-04-28,4419.120117,4447.200195,4355.299805,4363.990234,4363.990234,2161400000
2016-04-29,4367.589844,4372.970215,4307.100098,4341.299805,4341.299805,2376460000
2016-05-02,4350.830078,4386.97998,4334.589844,4381.299805,4381.299805,1880460000
2016-05-03,4349.080078,4368.759766,4329.759766,4341.390137,4341.390137,1984340000
2016-05-04,4314.5,4328.220215,4301.069824,4312.009766,4312.009766,1950800000
2016-05-05,4326.910156,4333.120117,4299.609863,4309.47998,4309.47998,1888350000
2016-05-06,4290.359863,4330.240234,4282.0,4330.169922,4330.169922,1860800000
2016-05-09,4331.660156,4361.870117,4329.899902,4341.22998,4341.22998,1625100000
2016-05-10,4360.72998,4404.089844,4351.160156,4402.040039,4402.040039,1760120000
2016-05-11,4395.879883,4407.930176,4360.72998,4361.029785,4361.029785,1859110000
2016-05-12,4376.089844,4377.859863,4312.879883,4342.810059,4342.810059,1930450000
2016-05-13,4337.830078,4364.240234,4318.700195,4326.529785,4326.529785,1698030000
2016-05-16,4335.330078,4395.700195,4329.890137,4380.47998,4380.47998,1741510000
2016-05-17,4376.549805,4385.060059,4311.180176,4322.560059,4322.560059,1925230000
2016-05-18,4314.339844,4360.910156,4305.72998,4338.22998,4338.22998,1934100000
2016-05-19,4319.859863,4331.580078,4284.370117,4315.580078,4315.580078,1805890000
2016-05-20,4330.069824,4379.97998,4329.569824,4362.899902,4362.899902,1970520000
2016-05-23,4364.72998,4382.399902,4353.359863,4355.100098,4355.100098,1865110000
2016-05-24,4381.339844,4449.209961,4380.459961,4444.299805,4444.299805,1942280000
2016-05-25,4459.259766,4488.52002,4453.049805,4476.430176,4476.430176,1784420000
2016-05-26,4478.569824,4494.029785,4469.759766,4487.959961,4487.959961,1606250000
2016-05-27,4490.959961,4512.540039,4489.160156,4512.540039,4512.540039,1505020000
2016-05-31,4513.850098,4526.839844,4497.649902,4523.890137,4523.890137,2285350000
2016-06-01,4507.180176,4530.390137,4502.779785,4520.069824,4520.069824,1797090000
2016-06-02,4510.810059,4531.350098,4488.080078,4531.350098,4531.350098,1729050000
2016-06-03,4520.97998,4523.359863,4480.799805,4509.790039,4509.790039,1697840000
2016-06-06,4517.879883,4536.549805,4510.330078,4523.629883,4523.629883,1663840000
2016-06-07,4527.859863,4532.299805,4511.419922,4513.089844,4513.089844,1747760000
2016-06-08,4521.100098,4529.089844,4505.390137,4520.629883,4520.629883,1692640000
2016-06-09,4501.149902,4518.5,4494.759766,4512.689941,4512.689941,1632340000
2016-06-10,4473.080078,4480.47998,4447.330078,4461.049805,4461.049805,1822200000
2016-06-13,4436.120117,4461.27002,4419.72998,4422.759766,4422.759766,1888300000
2016-06-14,4413.709961,4439.72998,4392.430176,4424.910156,4424.910156,1919710000
2016-06-15,4433.680176,4439.609863,4404.580078,4409.509766,4409.509766,1802200000
2016-06-16,4387.899902,4428.27002,4362.160156,4424.22998,4424.22998,1851770000
2016-06-17,4409.75,4409.75,4363.629883,4374.379883,4374.379883,2638220000
2016-06-20,4424.109863,4444.060059,4397.359863,4400.160156,4400.160156,1779560000
2016-06-21,4408.029785,4422.669922,4398.640137,4413.399902,4413.399902,1698080000
2016-06-22,4415.459961,4442.02002,4400.879883,4404.72998,4404.72998,1682220000
2016-06-23,4437.609863,4467.47998,4420.160156,4467.47998,4467.47998,1738570000
2016-06-24,4294.799805,4373.149902,4274.540039,4285.700195,4285.700195,4411040000
2016-06-27,4247.709961,4249.0,4179.740234,4201.049805,4201.049805,2659650000
2016-06-28,4245.319824,4291.430176,4245.290039,4290.470215,4290.470215,2074090000
2016-06-29,4323.330078,4373.959961,4322.359863,4364.740234,4364.740234,2116550000
2016-06-30,4378.75,4417.959961,4359.569824,4417.700195,4417.700195,2171180000
2016-07-01,4411.77002,4453.859863,4411.759766,4437.450195,4437.450195,1745130000
2016-07-05,4414.350098,4418.040039,4386.560059,4410.75,4410.75,1690340000
2016-07-06,4388.430176,4447.22998,4375.720215,4444.700195,4444.700195,1876090000
2016-07-07,4451.149902,4468.310059,4438.799805,4459.580078,4459.580078,1672770000
2016-07-08,4484.919922,4529.720215,4476.5,4528.359863,4528.359863,1947260000
2016-07-11,4544.330078,4569.970215,4544.330078,4554.709961,4554.709961,1718450000
2016-07-12,4579.850098,4588.240234,4570.560059,4577.609863,4577.609863,1866280000
2016-07-13,4589.129883,4589.950195,4565.700195,4565.77002,4565.77002,1650820000
2016-07-14,4597.189941,4604.759766,4585.700195,4596.490234,4596.490234,1641170000
2016-07-15,4602.0,4607.180176,4579.830078,4589.830078,4589.830078,1610300000
2016-07-18,4595.060059,4627.569824,4591.830078,4619.680176,4619.680176,1585570000
2016-07-19,4601.680176,4617.470215,4595.379883,4603.279785,4603.279785,1694740000
2016-07-20,4630.850098,4665.669922,4623.930176,4657.200195,4657.200195,1877330000
2016-07-21,4662.950195,4669.529785,4634.069824,4647.02002,4647.02002,1880310000
2016-07-22,4650.97998,4670.540039,4635.220215,4666.069824,4666.069824,1639000000
2016-07-25,4662.899902,4667.089844,4650.5,4665.930176,4665.930176,1770620000
2016-07-26,4664.100098,4687.899902,4648.919922,4672.109863,4672.109863,2038060000
2016-07-27,4711.109863,4716.069824,4685.109863,4702.879883,4702.879883,2122250000
2016-07-28,4710.22998,4725.779785,4696.080078,4721.410156,4721.410156,1950910000
2016-07-29,4734.700195,4743.25,4715.77002,4730.22998,4730.22998,2072640000
2016-08-01,4734.439941,4767.240234,4728.72998,4756.040039,4756.040039,1866590000
